University,SAT_Min,SAT_Max,SAT_Avg,ACT_Min,ACT_Max,ACT_Avg,Tuition_USD,Institution_Type,Deadline,Average_GPA,TOEFL_Min,IELTS_Min,Scholarship_Mentioned,Scholarship_Amount_Examples,Scholarship_Percentages,URL
Rosalind Franklin University,1070,1277,1182,18,23,18.5,10000,Public University,January 15,3.03,85,6.5,1.0,2903-5654,15.0,http://rosalindfranklin.edu/
Saint Anthony College of Nursing,1019,1377,1180,22,26,25.0,27811,Private College,March 1,3.1,77,6.0,0.0,7861-13959,26.0,http://sacn.edu/
School of the Art Institute of Chicago,1006,1325,1146,21,24,23.5,54530,Public University,Rolling,3.36,70,6.0,1.0,2889-6107,22.0,http://saic.edu/
Saint Francis Medical Center College of Nursing,1112,1417,1282,20,28,23.0,41920,Private College,January 15,3.26,77,6.5,1.0,6741-15102,26.0,http://sfmccon.edu/
Shawnee Community College,892,1128,1025,18,21,19.5,4650,Public Community College,Rolling,2.29,71,5.5,1.0,1079-1909,11.0,http://shawneecc.edu/
Southeastern Illinois College,1010,1374,1195,21,30,25.5,4320,Private College,Rolling,3.15,88,6.0,1.0,7208-11245,37.0,http://sic.edu/
Southern Illinois University,910,1140,1060,17,28,24.5,13244,Public University,2025-11-04,3.11,74,6.5,1.0,5726-8696,20.0,http://siu.edu/
Southern Illinois University Edwardsville,900,1160,1063,18,26,20.0,12922,Public University,Rolling,3.16,80,6.0,1.0,3963-6482,19.0,http://siue.edu/
Spoon River College,1158,1418,1273,24,32,26.0,5580,Private College,February 1,3.6,80,7.0,1.0,8307-13480,29.0,http://src.edu/
South Suburban College,1114,1395,1264,20,27,22.5,5093,Private College,Rolling,3.13,84,6.0,1.0,5442-15944,33.0,http://ssc.edu/
University of Saint Francis,992,1255,1144,21,27,25.0,10000,Public University,January 15,2.96,81,6.5,1.0,4870-9103,21.0,http://stfrancis.edu/
Southwestern Illinois College,1084,1322,1211,23,32,29.5,3870,Private,February 1,3.26,80,7.0,1.0,5337-16369,29.0,http://swic.edu/
Saint Xavier University,1050,1284,1186,18,22,18.5,36840,Public University,February 1,3.41,76,7.0,1.0,4645-7427,15.0,http://scu.edu/
Trinity Christian College,1050,1200,1154,20,30,24.0,20325,Private College,June 1,3.54,82,6.5,1.0,8688-14748,31.0,http://trnty.edu/
University of Chicago,1120,1340,1242,21,22,21.5,14338,Public University,Rolling,3.29,76,6.0,1.0,2145-6587,18.0,http://uchicago.edu/
University of Illinois at Chicago,1120,1340,1242,21,22,21.5,14338,Public,Rolling,2.89,76,6.0,1.0,4645-7563,15.0,http://uic.edu/
University of Illinois,1270,1510,1418,18,29,21.5,16004,Public,2025-03-20,2.81,83,7.0,1.0,3370-5888,21.0,http://uillinois.edu/
University of Illinois Springfield,1010,1210,1118,17,26,23.5,12252,Public,June 1,3.12,72,6.5,1.0,3059-7856,22.0,http://uis.edu/
University of Illinois at Urbana-Champaign,1270,1510,1418,21,25,24.0,16004,Public University,January 15,3.35,71,6.5,1.0,4939-11395,17.0,http://illinois.edu/
University of Illinois at Urbana-Champaign,1270,1510,1418,21,25,24.0,16004,Public University,January 15,3.35,71,6.5,1.0,4939-11395,17.0,http://illinois.edu/
Waubonsee Community College,831,971,919,14,23,19.5,3432,Public Community College,February 1,2.43,67,6.5,0.0,1718-2698,13.0,http://waubonsee.edu/
Wheaton College,1260,1440,1363,22,32,28.0,43930,Private College,January 15,3.64,77,6.5,1.0,5018-15035,26.0,http://wheaton.edu/
Western Illinois University,999,1299,1142,21,26,24.5,14952,Public University,2025-08-01,3.48,72,7.0,1.0,5166-8467,20.0,http://wiu.edu/
Saint John’s College,1095,1367,1237,21,26,23.5,10000,Private College,February 1,3.2,86,7.0,1.0,8016-13519,35.0,http://stjohnscollegespringfield.edu/
Saint John’s College,1095,1367,1237,21,26,23.5,75000,Private College,February 1,3.2,86,7.0,1.0,8016-13519,35.0,http://sjc.edu/
Anabaptist Mennonite Biblical Seminary,1110,1282,1198,18,25,19.5,14170,Public University,July 1,3.28,71,7.0,1.0,2775-7369,17.0,http://ambs.edu/
Anderson University,940,1170,1054,20,24,22.0,35640,Public University,June 1,3.44,70,6.5,1.0,2793-5823,18.0,http://anderson.edu/
Anderson University,940,1170,1054,20,24,22.0,35640,Public University,June 1,3.44,70,6.5,0.0,2793-5823,18.0,http://andersonuniversity.edu/
Bethel College Indiana,1148,1260,1199,20,26,22.0,10000,Private College,Rolling,3.55,80,6.0,1.0,8888-18115,29.0,http://bethelcollege.edu/
Brown Mackie College,1124,1374,1261,21,26,23.5,10000,Private College,March 1,3.33,89,6.0,1.0,5746-16884,38.0,http://brownmackie.edu/
Ball State University,1080,1250,1172,20,26,23.0,10758,Public University,2025-12-13,3.27,72,6.5,1.0,5602-12241,18.0,http://bsu.edu/
Butler University,1180,1360,1282,18,23,18.5,45980,Public University,March 1,3.02,85,6.0,1.0,3416-10213,20.0,http://butler.edu/
DePauw University,1140,1430,1287,18,26,20.0,57070,Public University,Rolling,3.24,80,6.0,1.0,2000-6334,22.0,http://depauw.edu/
Earlham College,1178,1363,1250,20,31,24.5,51840,Private College,Rolling,3.25,82,6.0,0.0,6539-12271,31.0,http://earlham.edu/
University of Evansville,1132,1276,1197,21,27,24.0,42676,Private,June 1,3.49,86,6.5,1.0,8229-19116,35.0,http://evansville.edu/
Goshen College,850,1133,1049,23,32,29.5,37760,Private College,January 15,3.57,81,6.5,1.0,8670-15600,30.0,http://goshen.edu/
Grace College and Seminary,950,1200,1088,24,31,25.5,30034,Private College,Rolling,3.23,90,6.0,1.0,7608-16112,39.0,http://grace.edu/
Hanover College,1070,1240,1197,23,28,27.5,42894,Private College,February 1,3.58,86,7.0,1.0,8705-13587,35.0,http://hanover.edu/
Harrison College,1004,1391,1186,23,29,28.0,10000,Private College,July 1,3.15,79,7.0,1.0,8255-14874,28.0,http://harrison.edu/
Holy Cross College,980,1300,1229,23,29,28.0,35500,Private College,January 15,3.12,75,6.5,1.0,7762-16726,40.0,http://hcc-nd.edu/
Indiana University,1045,1356,1204,20,27,23.5,9992,Public University,March 1,3.02,73,6.0,1.0,3625-6396,23.0,http://indiana.edu/
Indiana University,1045,1356,1204,20,27,23.5,9992,Public University,March 1,3.02,73,6.0,1.0,3625-6396,23.0,http://iu.edu/
Indiana State University,925,1257,1102,21,22,21.5,9992,Public University,Rolling,3.4,84,6.0,1.0,5076-9971,15.0,http://indstate.edu/
Indiana Wesleyan University,970,1180,1074,17,27,24.0,31168,Public University,January 15,2.93,73,6.5,1.0,2425-8746,24.0,http://indwes.edu/
Indiana University – Purdue University Fort Wayne,1086,1197,1150,20,27,23.5,675000,Public,July 1,2.92,81,7.0,1.0,3190-5411,22.0,http://ipfw.edu/
Indiana University,1045,1356,1204,20,27,23.5,9992,Public University,March 1,3.02,73,6.0,1.0,3625-6396,23.0,http://indiana.edu/
Indiana University,1045,1356,1204,20,27,23.5,9992,Public University,March 1,3.02,73,6.0,1.0,3625-6396,23.0,http://iu.edu/
Indiana University Bloomington,1170,1400,1308,17,24,22.5,11790,Public University,June 1,2.91,70,6.5,1.0,3665-8723,15.0,http://iub.edu/
Indiana University East,1010,1220,1135,18,25,19.5,8179,Public University,2025-12-08,3.5,79,7.0,1.0,2694-5980,19.0,http://iue.edu/
Indiana University Northwest,940,1170,1067,19,29,23.0,8179,Public University,July 1,2.97,83,7.0,1.0,3797-6645,17.0,http://iun.edu/
Indiana University – Purdue University Indianapolis,986,1202,1102,18,29,21.5,7400,Public,January 15,2.87,75,6.5,1.0,5122-11359,15.0,http://iupui.edu/
Indiana University Southeast,1010,1190,1097,20,23,21.5,8179,Public University,January 15,3.07,85,6.5,1.0,2886-7587,20.0,http://ius.edu/
Indiana University South Bend,970,1170,1072,21,25,24.0,8179,Public University,January 15,3.23,71,6.5,1.0,2731-6310,23.0,http://iusb.edu/
Ivy Tech Community College,887,1057,964,17,22,18.5,4912,Public Community College,2025-06-01,2.33,78,6.0,1.0,1244-1897,15.0,http://ivytech.edu/
Manchester University,996,1248,1131,17,29,25.0,37090,Public University,July 1,3.22,75,7.0,1.0,3126-9127,23.0,http://manchester.edu/
Marian University Indianapolis,1111,1234,1162,17,26,23.5,14440,Public University,Rolling,2.94,80,6.0,1.0,4298-11056,22.0,http://marian.edu/
University of Notre Dame,1440,1540,1510,21,26,24.5,62693,Public,Rolling,3.32,72,6.0,1.0,5202-8489,22.0,http://nd.edu/
Oakland City University,1095,1242,1176,20,28,24.0,27150,Public University,February 1,3.45,158,7.0,0.0,2610-8875,15.0,http://oak.edu/
Purdue University North Central,1082,1282,1182,20,28,24.0,9520,Public University,June 1,3.16,82,6.5,1.0,4634-6899,18.0,http://pnc.edu/
Purdue University,960,1190,1078,18,24,19.0,9254,Public,Rolling,3.44,70,6.0,1.0,3370-9543,17.0,http://purdue.edu/
Purdue University Calumet,1046,1305,1184,19,28,22.5,14790,Public University,June 1,3.08,82,6.5,1.0,4935-9000,23.0,http://purduecal.edu/
Rose-Hulman Institute of Technology,1280,1470,1389,21,29,26.0,56674,Public University,March 1,3.24,83,6.0,1.0,2328-6617,16.0,http://rose-hulman.edu/
Saint Mary’s College,875,1070,966,24,32,26.0,33490,Private College,2025-11-15,3.69,80,7.0,1.0,6227-10686,38.0,http://stmarys-ca.edu/
Saint Mary’s College,875,1070,966,24,32,26.0,33490,Private College,2025-11-15,3.69,80,7.0,1.0,6227-10686,38.0,http://saintmarys.edu/
Trine University,970,1268,1122,18,24,19.0,35600,Public University,Rolling,3.46,78,6.0,1.0,2908-7179,25.0,http://trine.edu/
University of Indianapolis,1040,1230,1146,20,27,22.5,10449,Private,February 1,3.16,82,7.0,1.0,8669-13221,31.0,http://uindy.edu/
University of Southern Indiana,1020,1220,1131,21,28,25.5,10136,Public University,2025-12-01,2.92,74,6.0,1.0,5018-10711,20.0,http://usi.edu/
Valparaiso University,1080,1310,1226,21,24,23.5,46588,Public University,February 1,3.34,78,7.0,1.0,5336-12135,16.0,http://valpo.edu/
Wabash College,1100,1300,1210,24,31,25.5,49125,Private College,July 1,3.57,81,7.0,1.0,8443-19460,30.0,http://wabash.edu/
Benedictine College,1117,1310,1244,21,28,24.5,34800,Private College,January 15,3.34,75,6.5,1.0,6049-16111,40.0,http://benedictine.edu/
Butler Community College,926,1068,986,14,19,17.5,3556,Public Community College,June 1,2.66,63,6.0,1.0,1643-2699,15.0,http://butlercc.edu/
Emporia State University,1070,1267,1178,20,26,23.0,7356,Public University,June 1,2.82,80,6.5,1.0,2912-7271,18.0,http://emporia.edu/
Fort Hays State University,954,1168,1050,20,28,24.0,10000,Public University,February 1,3.14,82,7.0,1.0,3544-9620,20.0,http://fhsu.edu/
Flint Hills Technical College,1084,1200,1160,19,29,23.0,6196,Public,March 1,2.88,83,6.0,1.0,5094-10331,24.0,http://fhtc.edu/
Fort Scott Community College,876,984,930,17,23,19.0,3240,Public Community College,February 1,2.22,61,6.5,1.0,1784-3416,16.0,http://fortscott.edu/
Garden City Community College,843,1009,946,17,20,17.5,3570,Public Community College,July 1,2.67,76,6.5,1.0,1429-3155,11.0,http://gcccks.edu/
Hesston College,1060,1222,1158,23,29,28.0,31368,Private College,June 1,3.39,90,6.5,1.0,6271-10468,39.0,http://hesston.edu/
Highland Community College,813,1060,928,15,23,21.0,4116,Public Community College,February 1,2.52,61,6.0,1.0,1734-3075,15.0,http://highlandcc.edu/
Johnson County Community College,907,1079,975,17,21,18.0,2328,Public Community College,Rolling,2.59,77,5.5,0.0,868-2190,10.0,http://jccc.edu/
Kansas City Kansas Community College,923,1073,1000,17,19,17.5,3150,Public Community College,June 1,2.3,69,6.0,1.0,1350-2779,16.0,http://kckcc.edu/
Kansas State University,1108,1185,1138,18,25,19.5,13510,Public University,March 1,3.27,79,6.0,1.0,5897-11302,19.0,http://k-state.edu/
The University of Kansas,954,1287,1122,19,27,22.0,14330,Public University,July 1,3.13,73,7.0,1.0,4489-11423,18.0,http://ku.edu/
McPherson College,936,1126,1068,24,29,24.5,35162,Private College,July 1,3.42,75,7.0,1.0,8476-19484,40.0,http://mcpherson.edu/
Neosho County Community College,971,1212,1094,17,19,17.5,5644,Public Community College,June 1,2.69,75,6.0,1.0,853-1530,16.0,http://neosho.edu/
Newman University,1025,1353,1191,17,23,22.0,35500,Public University,January 15,2.89,77,6.5,1.0,4083-9939,15.0,http://newmanu.edu/
Pittsburg State University,1120,1323,1212,18,22,18.5,8008,Public University,Rolling,3.47,76,6.0,1.0,3628-7596,21.0,http://pittstate.edu/
Saint Paul School of Theology and Ministry,1019,1219,1129,17,29,25.0,10010,Public University,2025-04-01,2.8,79,6.5,1.0,2200-8998,15.0,http://spst.edu/
Sterling College,1155,1338,1250,22,27,25.5,32200,Private College,March 1,3.14,87,6.0,1.0,8174-19138,36.0,http://sterling.edu/
University of Saint Mary,926,1093,1047,21,26,23.5,33890,Private,Rolling,3.47,86,6.0,1.0,5753-10276,35.0,http://stmary.edu/
Washburn University,1175,1366,1282,24,26,24.5,9578,Private,January 15,3.34,79,6.5,1.0,7386-19224,28.0,http://washburn.edu/
Washburn University School of Law,951,1166,1074,19,28,22.5,9970,Public University,February 1,3.24,74,7.0,1.0,4652-9843,18.0,http://washburnlaw.edu/
Wichita State University,984,1349,1178,17,29,25.0,6018,Public,July 1,2.93,83,7.0,1.0,3817-7973,20.0,http://wichita.edu/
Asbury University,1051,1359,1194,18,22,18.5,33640,Public University,Rolling,3.11,84,6.0,1.0,2177-4261,17.0,http://asbury.edu/
Bellarmine University,1075,1243,1208,20,28,24.0,47180,Public University,February 1,3.19,74,7.0,1.0,5344-8906,18.0,http://bellarmine.edu/
Berea College,1156,1335,1248,20,32,25.0,49326,Private College,March 1,3.35,79,6.0,1.0,8480-14584,28.0,http://berea.edu/
Centre College,1230,1423,1345,24,27,24.5,50550,Private College,June 1,3.39,93,7.0,1.0,5095-9829,37.0,http://centre.edu/
Eastern Kentucky University,930,1190,1089,17,27,24.0,10130,Public,2025-08-01,3.45,81,6.0,1.0,5876-8236,24.0,http://eku.edu/
Frontier Nursing University,1104,1151,1124,17,22,21.5,10720,Public University,February 1,3.27,84,7.0,0.0,4636-9611,17.0,http://frontier.edu/
Georgetown College,1030,1230,1149,23,27,26.5,42010,Private College,February 1,3.6,86,7.0,1.0,7084-15122,35.0,http://georgetowncollege.edu/
Kentucky Community and Technical College System,966,1224,1094,20,29,24.5,9280,Public Technical College,July 1,2.91,83,7.0,1.0,4108-6422,17.0,http://kctcs.edu/
Kentucky Christian University,900,1040,1044,22,28,26.0,25000,Private University,February 1,3.5,84,7.0,1.0,6537-18517,33.0,http://kcu.edu/
Kentucky State University,820,1010,910,21,28,25.5,9214,Public University,February 1,2.91,70,6.0,1.0,2881-9836,21.0,http://kysu.edu/
Lindsey Wilson College,1008,1273,1124,21,27,24.0,27274,Private College,January 15,3.16,75,6.5,1.0,5544-14268,40.0,http://lindsey.edu/
The University of Louisville,1100,1350,1217,20,25,22.5,11650,Public University,January 15,2.9,79,6.5,1.0,2098-5650,16.0,http://louisville.edu/
Midway College,1034,1318,1157,24,32,26.0,28480,Private College,June 1,3.51,90,6.5,1.0,5060-14384,39.0,http://midway.edu/
Morehead State University,1001,1251,1139,17,26,23.5,9838,Public University,2025-08-01,3.03,80,6.5,1.0,3677-9290,22.0,http://moreheadstate.edu/
Murray State University,950,1190,1110,18,25,19.5,9708,Public University,March 1,2.96,71,6.0,1.0,5581-11208,22.0,http://murraystate.edu/
Northern Kentucky University,916,1133,1114,19,28,22.5,10896,Public University,February 1,3.29,82,7.0,1.0,2964-8290,19.0,http://nku.edu/
The Southern Baptist Theological Seminary,1028,1203,1118,21,24,23.5,13086,Public University,February 1,3.05,70,7.0,1.0,5996-12678,19.0,http://sbts.edu/
Saint Catharine College,1102,1246,1170,22,27,25.5,32060,Private College,January 15,3.37,77,6.5,1.0,6290-14867,26.0,http://sccky.edu/
Sullivan University,1007,1153,1090,19,27,22.0,14220,Public University,January 15,3.01,81,6.5,1.0,3029-10013,20.0,http://sullivan.edu/
University of the Cumberlands,1124,1418,1283,23,27,26.5,9875,Private,2025-10-01,3.24,85,7.0,1.0,8957-18465,34.0,http://ucumberlands.edu/
Western Kentucky University,820,1010,977,18,22,18.5,11436,Public University,Rolling,3.3,84,6.0,1.0,2510-6991,18.0,http://wku.edu/
Bossier Parish Community College,962,1204,1102,18,19,18.5,4283,Public Community College,2025-06-30,2.6,69,6.0,1.0,1057-2490,10.0,http://bpcc.edu/
Centenary College of Louisiana,1040,1210,1171,20,30,24.0,40000,Private College,January 15,3.17,89,6.5,1.0,7219-14098,38.0,http://centenary.edu/
Louisiana Tech University,1045,1290,1190,21,23,22.5,10125,Public,March 1,3.11,85,6.0,1.0,4974-10334,18.0,http://latech.edu/
Louisiana Culinary Institute,1067,1253,1163,17,24,22.5,15575,Public University,June 1,3.45,70,6.5,1.0,5012-8258,24.0,http://lci.edu/
University of Louisiana Lafayette,1120,1255,1219,18,28,21.0,10418,Public University,February 1,3.32,82,7.0,1.0,4023-7675,22.0,http://louisiana.edu/
Loyola University New Orleans,1107,1357,1248,19,27,22.0,47240,Public University,2025-04-15,3.03,73,7.0,1.0,2494-4895,19.0,http://loyno.edu/
Louisiana State University,1001,1341,1179,20,28,24.0,10000,Public University,June 1,3.03,74,6.5,1.0,5806-9301,15.0,http://lsu.edu/
Louisiana State University – Eunice,1091,1155,1136,17,29,25.0,4730,Public University,January 15,2.86,75,6.5,1.0,3033-7686,21.0,http://lsue.edu/
LSU Health Sciences Center – New Orleans,975,1238,1100,17,25,23.0,8190,Public University,July 1,3.03,79,7.0,1.0,2413-4421,20.0,http://lsuhsc.edu/
LSU Health Sciences Center – New Orleans,975,1238,1100,17,25,23.0,8190,Public University,July 1,3.03,79,7.0,1.0,2413-4421,20.0,http://lsuhscshreveport.edu/
LSU Health Sciences Center – New Orleans,975,1238,1100,17,25,23.0,8190,Public University,July 1,3.03,79,7.0,0.0,2413-4421,20.0,http://lsuhsc.edu/
LSU Health Sciences Center – New Orleans,975,1238,1100,17,25,23.0,8190,Public University,July 1,3.03,79,7.0,0.0,2413-4421,20.0,http://lsuhscshreveport.edu/
Louisiana State University System,1036,1270,1146,20,24,22.0,10000,Public University,Rolling,3.03,70,6.0,1.0,3072-6524,19.0,http://lsusystem.edu/
Nicholls State University,928,1145,1088,19,25,21.0,8173,Public,March 1,2.83,71,6.0,1.0,5922-9224,16.0,http://nicholls.edu/
New Orleans Baptist Theological Seminary,937,1197,1069,21,22,21.5,11540,Public University,2025-02-01,3.45,84,6.0,1.0,5901-9383,18.0,http://nobts.edu/
Nunez Community College,960,1080,1012,14,23,19.5,4255,Public Community College,February 1,2.28,67,6.5,1.0,893-1649,14.0,http://nunez.edu/
Southeastern Louisiana University,930,1335,1118,18,25,19.5,8373,Public University,July 1,3.32,71,7.0,0.0,2598-5260,18.0,http://southeastern.edu/
Southern University,798,1000,938,21,28,25.5,9940,Public University,Rolling,3.01,82,6.0,1.0,4333-11055,16.0,http://subr.edu/
Tulane University,1390,1510,1443,20,26,23.0,65538,Public University,June 1,3.09,100,6.5,1.0,2495-6500,17.0,http://tulane.edu/
University of Louisiana at Monroe,1050,1350,1102,17,26,23.5,9190,Public University,June 1,3.4,72,6.5,1.0,3232-6244,15.0,http://ulm.edu/
University of New Orleans,1096,1315,1204,18,26,20.0,14250,Public University,Rolling,2.8,80,6.0,1.0,3301-8460,25.0,http://uno.edu/
Xavier University of Louisiana,1037,1309,1169,19,22,19.5,10200,Public University,June 1,3.04,76,6.5,0.0,4654-10528,23.0,http://xula.edu/
Amherst College,1360,1550,1494,20,32,25.0,67280,Private College,July 1,3.45,83,7.0,0.0,7880-15594,32.0,http://amherst.edu/
Assumption College,1099,1387,1238,24,26,24.5,25870,Private College,June 1,3.25,90,6.5,1.0,7870-17629,39.0,http://assumption.edu/
Babson College,1380,1500,1435,20,29,23.5,56032,Private College,July 1,3.24,75,7.0,1.0,5358-14434,40.0,http://babson.edu/
Boston College,1128,1372,1246,23,28,27.5,26800,Private College,2025-10-15,3.45,78,6.5,1.0,8959-16396,27.0,http://bc.edu/
Bentley University,1250,1410,1340,17,26,23.5,58150,Public University,February 1,3.48,72,7.0,1.0,3480-6280,24.0,http://bentley.edu/
Berklee College of Music,1043,1404,1204,24,28,24.5,50270,Private College,Rolling,3.26,80,6.0,1.0,7274-13381,29.0,http://berklee.edu/
Berkshire Community College,849,1003,944,15,20,19.5,5612,Public Community College,July 1,2.34,70,6.5,1.0,1760-2843,13.0,http://berkshirecc.edu/
The Boston Conservatory,1036,1286,1170,17,24,22.5,10000,Public University,Rolling,3.41,78,6.0,1.0,5320-11529,17.0,http://bostonconservatory.edu/
